"gs_name","ensembl_gene"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000105550"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000070388"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000118972"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000186895"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000075388"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138675"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000111241"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000140285"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000107831"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000102678"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000077782"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000066468"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000068078"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000160867"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000196924"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000136068"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000128591"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000170345"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000116717"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000099860"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000130222"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000146535"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000172380"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000177885"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000174775"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000276536"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000204389"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000215328"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000234475"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000235941"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000237724"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000204388"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000212866"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000224501"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000231555"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000232804"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000204390"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000206383"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000226704"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000234258"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000236251"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000126803"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000173110"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000109971"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000106211"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000104365"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000269335"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000115008"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000125538"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000115594"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000115590"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000168970"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000177606"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000130522"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000133703"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000109270"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000169032"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000126934"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000034152"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000065559"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000137764"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000108984"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000076984"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000095015"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000173327"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000139625"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000073803"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000006062"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000282637"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000169967"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000091436"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000198909"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000085511"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000197442"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000142733"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000135341"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000107968"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000104814"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000282928"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000168067"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000011566"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000071054"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100030"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000109339"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000185386"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000188130"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000156711"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000112062"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000102882"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000166484"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000107643"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000121653"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000008735"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138834"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000050748"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000162889"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000114738"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000089022"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000186868"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000276155"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000277956"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000125952"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000085276"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000081189"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000079277"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000099875"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000172680"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000158186"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000136997"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000196712"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000101096"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100968"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000285485"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000109320"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000077150"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000134259"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000087095"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000123358"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000213281"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000185652"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000225950"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000198400"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000148053"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000149269"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000180370"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000197461"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100311"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000134853"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000113721"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000069764"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000276870"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000123739"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138308"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000170890"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000188257"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000187980"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000117215"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000188784"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000158786"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100078"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000116711"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000243708"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000188089"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000127472"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000184381"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100614"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138032"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138814"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000107758"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000120910"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000221823"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000188386"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000011485"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000072062"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000288516"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000142875"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000165059"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000154229"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000166501"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000126583"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000183943"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000110786"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000143851"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000153233"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000136238"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000128340"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000169750"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000132155"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000116473"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000127314"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000109756"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000145715"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000155903"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000058335"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000113319"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000172575"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000068831"
